# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\intelFPGA_lite\18.1\FPGA_Mar1_WithCalibrationSwitch\pinmap.csv
# Generated on: Wed Mar 04 18:00:15 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
altera_reserved_tck,Input,,,,PIN_H3,,,,,,
altera_reserved_tdi,Input,,,,PIN_H4,,,,,,
altera_reserved_tdo,Output,,,,PIN_J4,,,,,,
altera_reserved_tms,Input,,,,PIN_J5,,,,,,
clk,Input,PIN_E16,6,B6_N0,PIN_E16,2.5 V,,,,,
DATA,Input,PIN_P2,2,B2_N0,PIN_P2,LVDS,,,,DATA(n),
DATA_OUT,Output,,,,PIN_B10,,,,,,
KEY,Input,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
LED[2],Output,PIN_J14,5,B5_N0,PIN_J14,2.5 V,,,,,
LED[1],Output,PIN_K15,5,B5_N0,PIN_K15,2.5 V,,,,,
LED[0],Output,PIN_L14,5,B5_N0,PIN_L14,2.5 V,,,,,
LED_OUT[2],Output,PIN_R16,5,B5_N0,PIN_R16,2.5 V,,,,,
LED_OUT[1],Output,PIN_K16,5,B5_N0,PIN_K16,2.5 V,,,,,
LED_OUT[0],Output,PIN_L16,5,B5_N0,PIN_L16,2.5 V,,,,,
DATA(n),Input,PIN_P1,2,B2_N0,PIN_P1,LVDS,,,,DATA,
LED_DATA_OUT[1],Unknown,,,,,2.5 V,,,,,
LED_DATA_OUT[2],Unknown,,,,,2.5 V,,,,,
LED_DATA_OUT[0],Unknown,,,,,2.5 V,,,,,
LED_DATA_OUT,Unknown,,,,,2.5 V,,,,,
